objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,event,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,,,,,,,
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,
coll002,20140613-122556-2-10-15-PM.jpg,,,20140613-122556-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll003,20140613-145524-2-10-15-PM.jpg,,,20140613-145524-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll004,20140616-181758-2-10-15-PM.jpg,,,20140616-181758-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll005,20140618-194520-2-10-15-PM.jpg,,,20140618-194520-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll006,20140622-102003-2-10-15-PM.jpg,,,20140622-102003-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll007,20140622-102039.jpg,,,20140622-102039.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll008,20140622-102802.jpg,,,20140622-102802.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll009,20140622-102808.jpg,,,20140622-102808.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll010,20140622-102820.jpg,,,20140622-102820.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll011,20140622-103057.jpg,,,20140622-103057.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll012,20140622-103456.jpg,,,20140622-103456.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll013,20140622-103951-2-10-15-PM.jpg,,,20140622-103951-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll014,20140622-103957-2-10-15-PM.jpg,,,20140622-103957-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll015,20140622-104003-2-10-15-PM.jpg,,,20140622-104003-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll016,20140622-104010-2-10-15-PM.jpg,,,20140622-104010-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll017,20140622-104242.jpg,,,20140622-104242.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll018,20140622-104321-2-10-15-PM.jpg,,,20140622-104321-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll019,20140622-104420-2-10-15-PM.jpg,,,20140622-104420-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll020,20140622-104812-2-10-15-PM.jpg,,,20140622-104812-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll021,20140622-104841-2-10-15-PM.jpg,,,20140622-104841-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll022,20140622-110008-2-10-15-PM.jpg,,,20140622-110008-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll023,20140622-110018.jpg,,,20140622-110018.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
coll024,20140622-110501-2-10-15-PM.jpg,,,20140622-110501-2-10-15-PM.jpg,,2014,,,,,,,,,,image/jpeg,,,,,,,,,,,,
